event_name,food,engagement,location
Fall Kickoff,yes,0,
Adab with People,no,243,Douglass
Gender Interactions,no,336,Busch
Sahaba Stories,no,209,College Ave
Quran Night,no,321,Busch
Tawheed vs Shirk,no,160,Livingston
Parents in Islam,no,225,Livingston
General Body Meeting,no,125,Livingston
MSA Murder Mystery,no,287,Douglass
Under the Stars MSA Spring Kickoff,yes,235,College Ave
Covered in Confidence: A Talk on Modesty in Islam,no,204,Douglass
Reasons for Religion,no,254,Douglass
Shark Tank,yes,349,Douglass
Taboo Topics,yes,132,Livingston
Ramadan Prep,no,200,Douglass
MSA Elections,no,119,Livingston
End of Semester Event,yes,239,Busch
