event_name,event_type,date,attendance
Fall Kickoff,social,2025-09-04,309
Scavenger Hunt,social,2025-09-11,78
Chai and Chats: Prophetic Characteristics,religious,2025-09-18,78
Snacks and Suhba,social,2025-09-25,130
MSA Olympics,social,2025-10-02,309
Breaking Barriers,educational,2025-10-09,42
Cultures of the World,social,2025-10-16,95
MSA Taboo Topics,educational,2025-10-23,57
Quran Night,religious,2025-11-06,57
MSA Townhall Dinner,social,2025-11-13,61
Death & Resurrection with Shaykh Ali Ben Saad and Shaykh Meurad Ousman,religious,2025-11-20,46
MSA End of Semester: Squid Games!,social,2025-12-04,86
Muslim Student Association Spring Kickoff,social,2026-01-22,96
MSA World Hijab Week: Sips N Social,social,2026-01-29,34
MSA & PSA: Naat and Nasheed Night,religious,2026-02-05,93
Barista Battle,social,2026-02-12,64
Iftar Session 1,religious,2026-02-19,130
Iftar Session 2,religious,2026-02-26,184
Iftar Session 3,religious,2026-03-05,97
RUMSA Eid Party,social,2026-03-26,69
